Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,Beds,Bed_Category
50054,San Gorgonio Memorial Hospital,600 NORTH HIGHLAND SPRINGS AVENUE,Banning,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA
",200,Large
50103,White Memorial Medical Center,1720 E CESAR AVENUE,Los Angeles,CA,90033,LOS ANGELES,3232685000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1720 E CESAR AVENUE
LOS ANGELES, CA
",200,Large
50138,Kaiser Foundation Hospital - Los Angeles,4867 SUNSET BLVD,Los Angeles,CA,90027,LOS ANGELES,3237834011,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,This hospitals star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"4867 SUNSET BLVD
LOS ANGELES, CA
",200,Large
50145,Community Hospital Of The Monterey Peninsula,23625 W R HOLMAN HIGHWAY,Monterey,CA,93940,MONTEREY,8316245311,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"23625 W R HOLMAN HIGHWAY
MONTEREY, CA
",200,Large
50224,Hoag Memorial Hospital Presbyterian,ONE HOAG DRIVE,Newport Beach,CA,92663,ORANGE,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"ONE HOAG DRIVE
NEWPORT BEACH, CA
",200,Large
50280,Mercy Medical Center Redding,"2175 ROSALINE AVE, CLAIRMONT HGTS",Redding,CA,96001,SHASTA,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA
",200,Large
50309,Sutter Roseville Medical Center,ONE MEDICAL PLAZA,Roseville,CA,95661,PLACER,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE MEDICAL PLAZA
ROSEVILLE, CA
",200,Large
50488,Eden Medical Center,20103 LAKE CHABOT ROAD,Castro Valley,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA
",200,Large
50547,Sonoma Developmental Center,15000 ARNOLD DRIVE   /  P O BOX 1493,Eldridge,CA,95431,SONOMA,7079386000,Acute Care Hospitals,Government - Federal,False,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"15000 ARNOLD DRIVE / P O BOX 1493
ELDRIDGE, CA
",200,Large
50567,Mission Hospital Regional Med Center,27700 MEDICAL CENTER RD,Mission Viejo,CA,92691,ORANGE,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA
",200,Large
50684,Menifee Valley Medical Center,28400 MCCALL B0ULEVARD,Sun City,CA,92585,RIVERSIDE,9516798888,Acute Care Hospitals,Physician,False,True,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"28400 MCCALL B0ULEVARD
SUN CITY, CA
",200,Large
50717,Lac/Rancho Los Amigos National Rehabilitation  Ctr,7601 EAST IMPERIAL HIGHWAY,Downey,CA,90242,LOS ANGELES,5624017022,Acute Care Hospitals,Government - Local,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA
",200,Large
51310,Frank R Howard Memorial Hospital,1 MARCELA DR,Willits,CA,95490,MENDOCINO,7074563031,Critical Access Hospitals,Voluntary non-profit - Church,True,True,4,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1 MARCELA DR
WILLITS, CA
",30,Small
51317,St Helena Hospital-Clearlake,15630 18TH AVE - HWY 53,Clearlake,CA,95422,LAKE,7079946486,Critical Access Hospitals,Voluntary non-profit - Church,True,True,2,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"15630 18TH AVE - HWY 53
CLEARLAKE, CA
",30,Small
53302,Children'S Hosp Of Los Angeles,4650 SUNSET BLVD,Los Angeles,CA,90027,LOS ANGELES,3236692164,Childrens,Voluntary non-profit - Private,True,True,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"4650 SUNSET BLVD
LOS ANGELES, CA
",100,Medium
53306,Children'S Hospital At Mission,"27700 MEDICAL CENTER RD, 5TH FLOOR",Mission Viejo,CA,92691,ORANGE,9493652408,Childrens,Voluntary non-profit - Private,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"27700 MEDICAL CENTER RD, 5TH FLOOR
MISSION VIEJO, CA
",100,Medium
61325,Pioneers Medical Center,100 PIONEERS MEDICAL CENTER DRIVE,Meeker,CO,81641,RIO BLANCO,9708785047,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 PIONEERS MEDICAL CENTER DRIVE
MEEKER, CO
",30,Small
61326,Pikes Peak Regional Hospital,16420 HIGHWAY 24,Woodland Park,CO,80863,TELLER,7196879999,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"16420 HIGHWAY 24
WOODLAND PARK, CO
",30,Small
70006,Stamford Hospital,ONE HOSPITAL PLAZA,Stamford,CT,6904,FAIRFIELD,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"ONE HOSPITAL PLAZA
STAMFORD, CT
",200,Large
70029,Bristol Hospital,BREWSTER RD,Bristol,CT,6010,HARTFORD,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"BREWSTER RD
BRISTOL, CT
",200,Large
80003,St Francis Hospital,7TH AND CLAYTON STS,Wilmington,DE,19805,NEW CASTLE,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"7TH AND CLAYTON STS
WILMINGTON, DE
",200,Large
100054,Twin Cities Hospital,2190 HWY 85 N,Niceville,FL,32578,OKALOOSA,8506784131,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2190 HWY 85 N
NICEVILLE, FL
",200,Large
100137,Heart Of Florida Regional Medical Center,40100 US HWY 27 N,Davenport,FL,33837,POLK,8634224971,Acute Care Hospitals,Proprietary,True,True,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"40100 US HWY 27 N
DAVENPORT, FL
",200,Large
100183,Coral Gables Hospital,3100 DOUGLAS RD,Coral Gables,FL,33134,MIAMI-DADE,3054458461,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"3100 DOUGLAS RD
CORAL GABLES, FL
",200,Large
100204,North Florida Regional Medical Center,6500 NEWBERRY RD,Gainesville,FL,32605,ALACHUA,3523334100,Acute Care Hospitals,Proprietary,True,True,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"6500 NEWBERRY RD
GAINESVILLE, FL
",200,Large
100209,Kendall Regional Medical Center,11750 BIRD RD,Miami,FL,33175,MIAMI-DADE,3052233000,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"11750 BIRD RD
MIAMI, FL
",200,Large
100244,Cape Coral Hospital,636 DEL PRADO BLVD,Cape Coral,FL,33990,LEE,2395742323,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"636 DEL PRADO BLVD
CAPE CORAL, FL
",200,Large
21301,Providence Valdez Medical Center,PO BOX 550,Valdez,AK,99686,,9078352249,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 550
VALDEZ, AK
",30,Small
21304,Petersburg Medical Center, PO BOX 589,Petersburg,AK,99833,,9077724291,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 589
PETERSBURG, AK
",30,Small
21307,Cordova Community Medical Center,PO BOX 160 - 602 CHASE AVENUE,Cordova,AK,99574,,9074248000,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 160 - 602 CHASE AVENUE
CORDOVA, AK
",30,Small
110030,Cartersville Medical Center,960 JOE FRANK HARRIS PARKWAY,Cartersville,GA,30120,BARTOW,7703878182,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"960 JOE FRANK HARRIS PARKWAY
CARTERSVILLE, GA
",200,Large
110038,John D Archbold Memorial Hospital,915 GORDON AVENUE & MIMOSA DRIVE,Thomasville,GA,31792,THOMAS,2292282880,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"915 GORDON AVENUE &amp; MIMOSA DRIVE
THOMASVILLE, GA
",200,Large
110041,Habersham County Medical Ctr,541 HISTORIC HIGHWAY 441-NORTH,Demorest,GA,30535,HABERSHAM,7067542161,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"541 HISTORIC HIGHWAY 441-NORTH
DEMOREST, GA
",200,Large
